,mean,std
Pzmatched,0.05525408286680591,0.284144239250965
P4matched,0.028760094618486765,0.25946789029406103
P8matched,0.01831181049217904,0.2707601749253783
POzmatched,0.060203855224371015,0.28945010605108695
O1matched,0.03438626469199528,0.25670227873942864
O2matched,0.02394341568524405,0.31420871674418793
CPzmatched,0.06572898535925226,0.26846552964950166
AF7matched,0.014438224432341143,0.20429626771510045
AF3matched,0.035005332145695664,0.17840485296892283
AF4matched,0.06774389159639395,0.31057464795882406
AF8matched,0.027621954706912585,0.3235429908356753
F5matched,0.006360064079162437,0.223250943921636
F1matched,0.025597026231961372,0.16630293856631578
F2matched,0.03750119101167609,0.28448235978077985
F6matched,0.007527191552787626,0.3087572142815984
FC3matched,0.004819036859979598,0.1759592885935635
FCzmatched,0.017100939281102585,0.2673146136260571
FC4matched,0.05416873750918044,0.27091841724073706
C5matched,0.04795040053466395,0.23371742476081772
C1matched,0.06315129254948962,0.23070364472859894
C2matched,0.046834798363062556,0.2929499559526673
C6matched,0.003352936656485463,0.2290515815820498
CP3matched,0.049862285169733685,0.25723088760319524
CP4matched,0.04163890655669288,0.2469020780179779
P5matched,0.032405140174359734,0.28353735850620626
P1matched,0.05088250346634962,0.2907076192438008
P2matched,0.07059974489975138,0.30330938682363057
P6matched,0.02000757325426864,0.2676878980536033
PO5matched,0.039267612283119126,0.2692450998145586
PO3matched,0.03383548995178561,0.30227149530276964
PO4matched,0.03829730637137684,0.30379751999533094
PO6matched,0.02525209497822418,0.31416019270733875
FT7matched,0.04627581786165404,0.2758001270953099
FT8matched,-0.014653287332703784,0.26289572428925573
TP7matched,0.06810050715522785,0.27548239060635005
TP8matched,0.02770360978290134,0.23528030702845815
PO7matched,0.036459239599610685,0.28815404653660237
PO8matched,0.011648720119246959,0.3209120131888347
Ozmatched,0.05632711730457185,0.2629986858009001
